region_id,city
8,Sanshan
2,Sarzedo
13,Nanzhao Chengguanzhen
15,Ryazhsk
5,Tarangnan
21,Halmstad
4,Kampunglistrik
12,Llorente
20,Kondangrege
4,Ayabe
6,Jungkat Selatan
4,Zhavoronki
17,Riobamba
5,Andalan
6,New Cebu
19,Kanggye-si
6,Abadiânia
15,Kuwait City
12,Ketangi
5,Shahr-e Şafā
10,Gómez
15,Datong
5,Bayaguana
13,Čelinac
16,Cheremshan
2,Cikupa
17,La Plaine-Saint-Denis
10,Millet
12,Courtaboeuf
16,Rāipur
5,Galubakul
14,Petaling Jaya
20,Novospasskoye
18,Gozdowo
3,Bužim
6,Delft
14,Aranitas
16,Shazhenxi
19,San Agustin
11,Chimbas
12,Guarenas
8,Jialai
11,Xiaojing
4,Xinqiaohe
12,Guangning
9,Tuapse
14,Severobaykal’sk
3,Būrabay
17,Buôn Ma Thuột
10,Aragarças
18,Slobodskoy
5,Arsenal
21,Hongguang
11,Komatsu
2,Walakeri
15,Nam Sách
7,Maracay
10,Pacajus
4,Semiluki
20,Hejia
6,Moravče
8,Tabivere
18,Vidoši
7,Cartagena
14,Valašská Polanka
16,Yubileyny
20,Qijiaxi
12,Pirapora do Bom Jesus
7,Kupusina
10,Kakan
7,Mengdong
1,Anolaima
9,Huafeng
5,Singida
16,Mintian
3,Kostel
7,Oslo
9,Langtad
4,Zibu
12,Wojciechów
4,Yên Thành
4,Dagang
16,Limbuhan
16,Bergen
13,Silvino Lobos
21,Padangbatung
4,Opechenskiy Posad
18,Khong
2,Asyūţ
11,Volokolamsk
16,Parobé
17,Nanniu
9,Wufeng
14,Gulonggang
17,Meicheng
18,Lanat
4,Sambirata
9,Nowe Miasto
5,Delicias
6,Nanping
