sponsorcontactid,tripname,tripdesc
178,Trip 2,sed tincidunt eu felis fusce posuere felis
46,Trip 3,interdum in ante vestibulum ante ipsum primis
144,Trip 4,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim
8,Trip 5,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
87,Trip 6,nullam molestie nibh in lectus pellentesque at nulla
78,Trip 7,tristique est et tempus semper est quam pharetra magna
168,Trip 8,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
91,Trip 9,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
84,Trip 10,velit eu est congue elementum in hac habitasse platea dictumst
66,Trip 11,est risus auctor sed tristique in tempus sit amet sem fusce
90,Trip 12,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh
68,Trip 13,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
84,Trip 14,tortor sollicitudin mi sit amet lobortis sapien sapien non mi
189,Trip 15,odio odio elementum eu interdum eu tincidunt in leo maecenas
144,Trip 16,nulla eget eros elementum pellentesque quisque porta volutpat erat
68,Trip 17,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est
31,Trip 18,nullam orci pede venenatis non sodales sed tincidunt eu
101,Trip 19,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
171,Trip 20,potenti in eleifend quam a odio in hac habitasse
156,Trip 21,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
159,Trip 22,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
48,Trip 23,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus
99,Trip 24,diam erat fermentum justo nec condimentum neque sapien placerat
200,Trip 25,felis sed interdum venenatis turpis enim blandit mi
135,Trip 26,turpis integer aliquet massa id lobortis convallis tortor risus
83,Trip 27,semper interdum mauris ullamcorper purus sit amet nulla
78,Trip 28,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat
119,Trip 29,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
151,Trip 30,proin at turpis a pede posuere nonummy integer non velit donec diam neque
127,Trip 31,suspendisse potenti cras in purus eu magna
103,Trip 32,pretium iaculis justo in hac habitasse platea
139,Trip 33,luctus ultricies eu nibh quisque id justo sit
103,Trip 34,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
122,Trip 35,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
83,Trip 36,leo pellentesque ultrices mattis odio donec vitae
65,Trip 37,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt
51,Trip 38,vel dapibus at diam nam tristique tortor eu
109,Trip 39,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
160,Trip 40,ut nulla sed accumsan felis ut at dolor quis odio
127,Trip 41,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
94,Trip 42,sem sed sagittis nam congue risus semper
78,Trip 43,porttitor id consequat in consequat ut nulla sed accumsan felis
7,Trip 44,pellentesque at nulla suspendisse potenti cras in purus eu
101,Trip 45,vestibulum sagittis sapien cum sociis natoque penatibus et magnis
31,Trip 46,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
198,Trip 47,interdum eu tincidunt in leo maecenas pulvinar lobortis est
159,Trip 48,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
62,Trip 49,porttitor lorem id ligula suspendisse ornare consequat
196,Trip 50,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
86,Trip 51,ac lobortis vel dapibus at diam nam tristique tortor eu
119,Trip 52,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
28,Trip 53,proin leo odio porttitor id consequat in consequat ut
120,Trip 54,augue a suscipit nulla elit ac nulla sed vel enim sit amet
74,Trip 55,odio cras mi pede malesuada in imperdiet et
172,Trip 56,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
114,Trip 57,id turpis integer aliquet massa id lobortis
24,Trip 58,elementum eu interdum eu tincidunt in leo maecenas pulvinar
98,Trip 59,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
117,Trip 60,id luctus nec molestie sed justo pellentesque viverra pede ac
77,Trip 61,neque aenean auctor gravida sem praesent id
8,Trip 62,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede
146,Trip 63,non pretium quis lectus suspendisse potenti in eleifend
81,Trip 64,magna vulputate luctus cum sociis natoque penatibus
191,Trip 65,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus
150,Trip 66,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
71,Trip 67,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
6,Trip 68,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
92,Trip 69,ligula pellentesque ultrices phasellus id sapien in
156,Trip 70,velit eu est congue elementum in hac habitasse platea dictumst
4,Trip 71,lorem ipsum dolor sit amet consectetuer adipiscing elit proin
65,Trip 72,aliquet at feugiat non pretium quis lectus suspendisse
18,Trip 73,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede
176,Trip 74,odio cras mi pede malesuada in imperdiet et
77,Trip 75,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
73,Trip 76,ut volutpat sapien arcu sed augue aliquam erat volutpat in
123,Trip 77,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
156,Trip 78,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
131,Trip 79,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
152,Trip 80,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat
125,Trip 81,dapibus augue vel accumsan tellus nisi eu
71,Trip 82,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
96,Trip 83,diam cras pellentesque volutpat dui maecenas tristique est et
38,Trip 84,nisi venenatis tristique fusce congue diam id ornare
44,Trip 85,convallis tortor risus dapibus augue vel accumsan tellus nisi
87,Trip 86,vivamus vestibulum sagittis sapien cum sociis natoque
6,Trip 87,congue diam id ornare imperdiet sapien urna pretium nisl ut
189,Trip 88,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet
93,Trip 89,purus phasellus in felis donec semper sapien a
89,Trip 90,est phasellus sit amet erat nulla tempus
108,Trip 91,in consequat ut nulla sed accumsan felis ut at
37,Trip 92,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
128,Trip 93,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
29,Trip 94,felis eu sapien cursus vestibulum proin eu mi nulla ac enim
155,Trip 95,sollicitudin ut suscipit a feugiat et eros vestibulum ac
148,Trip 96,tellus nulla ut erat id mauris vulputate elementum nullam varius
100,Trip 97,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum
96,Trip 98,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
102,Trip 99,natoque penatibus et magnis dis parturient montes nascetur
35,Trip 100,in libero ut massa volutpat convallis morbi odio
94,Trip 101,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
42,Trip 102,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
192,Trip 103,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
190,Trip 104,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
114,Trip 105,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
118,Trip 106,in tempor turpis nec euismod scelerisque quam turpis
88,Trip 107,nunc purus phasellus in felis donec semper sapien a libero nam dui proin
158,Trip 108,purus aliquet at feugiat non pretium quis lectus suspendisse
25,Trip 109,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla
156,Trip 110,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
123,Trip 111,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
94,Trip 112,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
64,Trip 113,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
116,Trip 114,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
153,Trip 115,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
136,Trip 116,amet eros suspendisse accumsan tortor quis turpis sed ante
178,Trip 117,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet
127,Trip 118,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo
195,Trip 119,mauris lacinia sapien quis libero nullam sit amet turpis
119,Trip 120,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec
14,Trip 121,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
98,Trip 122,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
142,Trip 123,odio porttitor id consequat in consequat ut
133,Trip 124,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
89,Trip 125,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
89,Trip 126,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
113,Trip 127,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
197,Trip 128,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
167,Trip 129,sem fusce consequat nulla nisl nunc nisl duis
154,Trip 130,eget tincidunt eget tempus vel pede morbi porttitor lorem id
189,Trip 131,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
88,Trip 132,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
77,Trip 133,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
36,Trip 134,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
173,Trip 135,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
55,Trip 136,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
7,Trip 137,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
89,Trip 138,elementum nullam varius nulla facilisi cras non
98,Trip 139,volutpat convallis morbi odio odio elementum eu interdum eu
110,Trip 140,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
154,Trip 141,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
9,Trip 142,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
194,Trip 143,sit amet sem fusce consequat nulla nisl nunc
195,Trip 144,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
13,Trip 145,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
131,Trip 146,nulla justo aliquam quis turpis eget elit sodales scelerisque
